radius	csound	density	pressure	Gamma_1	temperature
9.9988870E-001	8.4959500E+005	2.6752857E-007	1.2688774E+005	1.5218589E+000	7.1803244E+003
9.9988690E-001	8.5046520E+005	2.6785445E-007	1.2780980E+005	1.5158206E+000	7.2227746E+003
9.9988500E-001	8.5129909E+005	2.6817878E-007	1.2874911E+005	1.5095396E+000	7.2660443E+003
9.9988320E-001	8.5210755E+005	2.6850518E-007	1.2970365E+005	1.5031049E+000	7.3099327E+003
9.9988130E-001	8.5288815E+005	2.6883690E-007	1.3067175E+005	1.4965503E+000	7.3542532E+003
9.9987940E-001	8.5363600E+005	2.6917684E-007	1.3165229E+005	1.4898918E+000	7.3988532E+003
9.9987740E-001	8.5434760E+005	2.6952772E-007	1.3264480E+005	1.4831409E+000	7.4436173E+003
9.9987550E-001	8.5502133E+005	2.6989246E-007	1.3364968E+005	1.4763072E+000	7.4884704E+003
9.9987350E-001	8.5566243E+005	2.7027408E-007	1.3466762E+005	1.4694207E+000	7.5333650E+003
9.9987150E-001	8.5628459E+005	2.7067575E-007	1.3569957E+005	1.4625380E+000	7.5782710E+003
9.9986950E-001	8.5688765E+005	2.7109978E-007	1.3674693E+005	1.4556580E+000	7.6231779E+003
9.9986740E-001	8.5747164E+005	2.7154799E-007	1.3781116E+005	1.4487777E+000	7.6680867E+003
9.9986530E-001	8.5803644E+005	2.7202248E-007	1.3889395E+005	1.4418926E+000	7.7130079E+003
9.9986320E-001	8.5858371E+005	2.7252526E-007	1.3999725E+005	1.4350021E+000	7.7579607E+003
9.9986110E-001	8.5912541E+005	2.7305943E-007	1.4112302E+005	1.4281454E+000	7.8029667E+003
9.9985880E-001	8.5966761E+005	2.7362731E-007	1.4227311E+005	1.4213393E+000	7.8480434E+003
9.9985660E-001	8.6021031E+005	2.7423072E-007	1.4344930E+005	1.4145782E+000	7.8932044E+003
9.9985430E-001	8.6075389E+005	2.7487120E-007	1.4465327E+005	1.4078584E+000	7.9384612E+003
9.9985190E-001	8.6129939E+005	2.7555075E-007	1.4588694E+005	1.4011785E+000	7.9838266E+003
9.9984950E-001	8.6185050E+005	2.7627154E-007	1.4715224E+005	1.3945470E+000	8.0293160E+003
9.9984710E-001	8.6241804E+005	2.7703663E-007	1.4845116E+005	1.3879993E+000	8.0749408E+003
9.9984460E-001	8.6300347E+005	2.7784755E-007	1.4978534E+005	1.3815365E+000	8.1207051E+003
9.9984200E-001	8.6360695E+005	2.7870591E-007	1.5115636E+005	1.3751562E+000	8.1666090E+003
9.9983930E-001	8.6423024E+005	2.7961323E-007	1.5256607E+005	1.3688588E+000	8.2126526E+003
9.9983660E-001	8.6487430E+005	2.8057126E-007	1.5401628E+005	1.3626444E+000	8.2588380E+003
9.9983380E-001	8.6554485E+005	2.8158301E-007	1.5550889E+005	1.3565331E+000	8.3051667E+003
9.9983100E-001	8.6624506E+005	2.8265069E-007	1.5704559E+005	1.3505350E+000	8.3516348E+003
9.9982800E-001	8.6697746E+005	2.8377552E-007	1.5862801E+005	1.3446543E+000	8.3982347E+003
9.9982500E-001	8.6774402E+005	2.8495895E-007	1.6025783E+005	1.3388944E+000	8.4449570E+003
9.9982200E-001	8.6854611E+005	2.8620257E-007	1.6193673E+005	1.3332572E+000	8.4917941E+003
9.9981880E-001	8.6938907E+005	2.8750840E-007	1.6366663E+005	1.3277575E+000	8.5387395E+003
9.9981560E-001	8.7027424E+005	2.8887963E-007	1.6544922E+005	1.3224049E+000	8.5857847E+003
9.9981220E-001	8.7120112E+005	2.9031734E-007	1.6728622E+005	1.3171937E+000	8.6329180E+003
9.9980880E-001	8.7216847E+005	2.9182275E-007	1.6917923E+005	1.3121179E+000	8.6801266E+003
9.9980530E-001	8.7317509E+005	2.9339716E-007	1.7112998E+005	1.3071712E+000	8.7273981E+003
9.9980170E-001	8.7422046E+005	2.9504218E-007	1.7314028E+005	1.3023506E+000	8.7747215E+003
9.9979810E-001	8.7530786E+005	2.9676091E-007	1.7521185E+005	1.2976718E+000	8.8220853E+003
9.9979430E-001	8.7643718E+005	2.9855483E-007	1.7734648E+005	1.2931328E+000	8.8694765E+003
9.9979050E-001	8.7760996E+005	3.0042475E-007	1.7954569E+005	1.2887355E+000	8.9168812E+003
9.9978650E-001	8.7882669E+005	3.0237187E-007	1.8181127E+005	1.2844791E+000	8.9642860E+003
9.9978250E-001	8.8008721E+005	3.0439735E-007	1.8414492E+005	1.2803613E+000	9.0116784E+003
9.9977840E-001	8.8138973E+005	3.0650412E-007	1.8654841E+005	1.2763822E+000	9.0590463E+003
9.9977420E-001	8.8273387E+005	3.0869389E-007	1.8902340E+005	1.2725418E+000	9.1063778E+003
9.9976980E-001	8.8412090E+005	3.1096756E-007	1.9157159E+005	1.2688413E+000	9.1536603E+003
9.9976540E-001	8.8555219E+005	3.1332583E-007	1.9419467E+005	1.2652817E+000	9.2008813E+003
9.9976090E-001	8.8702836E+005	3.1576964E-007	1.9689428E+005	1.2618632E+000	9.2480296E+003
9.9975630E-001	8.8854847E+005	3.1830096E-007	1.9967224E+005	1.2585849E+000	9.2950951E+003
9.9975170E-001	8.9010811E+005	3.2092212E-007	2.0253037E+005	1.2554373E+000	9.3420676E+003
9.9974690E-001	8.9170604E+005	3.2363363E-007	2.0547033E+005	1.2524141E+000	9.3889368E+003
9.9974200E-001	8.9334106E+005	3.2643622E-007	2.0849396E+005	1.2495092E+000	9.4356928E+003
9.9973700E-001	8.9501160E+005	3.2933067E-007	2.1160305E+005	1.2467161E+000	9.4823260E+003
9.9973200E-001	8.9671567E+005	3.3231807E-007	2.1479943E+005	1.2440286E+000	9.5288278E+003
9.9972680E-001	8.9845089E+005	3.3540155E-007	2.1808489E+005	1.2414470E+000	9.5751899E+003
9.9972160E-001	9.0021674E+005	3.3858186E-007	2.2146132E+005	1.2389677E+000	9.6214049E+003
9.9971620E-001	9.0201235E+005	3.4185985E-007	2.2493057E+005	1.2365867E+000	9.6674656E+003
9.9971080E-001	9.0383769E+005	3.4523623E-007	2.2849451E+005	1.2343022E+000	9.7133653E+003
9.9970520E-001	9.0569274E+005	3.4871178E-007	2.3215507E+005	1.2321121E+000	9.7590980E+003
9.9969960E-001	9.0757493E+005	3.5228907E-007	2.3591419E+005	1.2300141E+000	9.8046584E+003
9.9969390E-001	9.0948322E+005	3.5596971E-007	2.3977375E+005	1.2280068E+000	9.8500413E+003
9.9968810E-001	9.1141672E+005	3.5975459E-007	2.4373585E+005	1.2260859E+000	9.8952426E+003
9.9968220E-001	9.1337490E+005	3.6364436E-007	2.4780249E+005	1.2242478E+000	9.9402585E+003
9.9967620E-001	9.1535659E+005	3.6763959E-007	2.5197562E+005	1.2224873E+000	9.9850858E+003
9.9967020E-001	9.1735944E+005	3.7174187E-007	2.5625741E+005	1.2207989E+000	1.0029722E+004
9.9966400E-001	9.1938005E+005	3.7595419E-007	2.6064984E+005	1.2191794E+000	1.0074164E+004
9.9965780E-001	9.2141882E+005	3.8027748E-007	2.6515519E+005	1.2176280E+000	1.0118412E+004
9.9965140E-001	9.2347558E+005	3.8471269E-007	2.6977551E+005	1.2161435E+000	1.0162463E+004
9.9964500E-001	9.2555073E+005	3.8926080E-007	2.7451310E+005	1.2147253E+000	1.0206318E+004
9.9963850E-001	9.2764526E+005	3.9392264E-007	2.7937014E+005	1.2133744E+000	1.0249976E+004
9.9963190E-001	9.2975697E+005	3.9870047E-007	2.8434877E+005	1.2120883E+000	1.0293437E+004
9.9962530E-001	9.3188311E+005	4.0359699E-007	2.8945132E+005	1.2108637E+000	1.0336704E+004
9.9961850E-001	9.3402407E+005	4.0861355E-007	2.9468026E+005	1.2097005E+000	1.0379777E+004
9.9961170E-001	9.3617970E+005	4.1375152E-007	3.0003784E+005	1.2085984E+000	1.0422658E+004
9.9960480E-001	9.3834976E+005	4.1901245E-007	3.0552650E+005	1.2075567E+000	1.0465349E+004
9.9959780E-001	9.4053410E+005	4.2439735E-007	3.1114865E+005	1.2065736E+000	1.0507856E+004
9.9959070E-001	9.4272980E+005	4.2990658E-007	3.1690703E+005	1.2056373E+000	1.0550179E+004
9.9958360E-001	9.4493596E+005	4.3554125E-007	3.2280434E+005	1.2047437E+000	1.0592322E+004
9.9957640E-001	9.4715199E+005	4.4130284E-007	3.2884338E+005	1.2038904E+000	1.0634286E+004
9.9956910E-001	9.4937753E+005	4.4719274E-007	3.3502718E+005	1.2030747E+000	1.0676072E+004
9.9956170E-001	9.5161217E+005	4.5321203E-007	3.4135840E+005	1.2022943E+000	1.0717683E+004
9.9955430E-001	9.5385558E+005	4.5936212E-007	3.4784000E+005	1.2015474E+000	1.0759122E+004
9.9954680E-001	9.5610659E+005	4.6564595E-007	3.5447516E+005	1.2008331E+000	1.0800391E+004
9.9953920E-001	9.5836481E+005	4.7206594E-007	3.6126707E+005	1.2001513E+000	1.0841493E+004
9.9953150E-001	9.6063058E+005	4.7862378E-007	3.6821882E+005	1.1995023E+000	1.0882431E+004
9.9952380E-001	9.6290439E+005	4.8532099E-007	3.7533354E+005	1.1988864E+000	1.0923207E+004
9.9951600E-001	9.6518629E+005	4.9215964E-007	3.8261484E+005	1.1983025E+000	1.0963825E+004
9.9950810E-001	9.6747518E+005	4.9914171E-007	3.9006576E+005	1.1977487E+000	1.1004289E+004
9.9950010E-001	9.6976993E+005	5.0627038E-007	3.9768994E+005	1.1972238E+000	1.1044602E+004
9.9949210E-001	9.7206936E+005	5.1354853E-007	4.0549102E+005	1.1967261E+000	1.1084767E+004
9.9948400E-001	9.7437273E+005	5.2097870E-007	4.1347229E+005	1.1962551E+000	1.1124789E+004
9.9947590E-001	9.7667940E+005	5.2856373E-007	4.2163765E+005	1.1958096E+000	1.1164672E+004
9.9946770E-001	9.7898947E+005	5.3630607E-007	4.2999048E+005	1.1953908E+000	1.1204420E+004
9.9945940E-001	9.8130276E+005	5.4420908E-007	4.3853490E+005	1.1949993E+000	1.1244037E+004
9.9945100E-001	9.8361831E+005	5.5227642E-007	4.4727466E+005	1.1946355E+000	1.1283530E+004
9.9944260E-001	9.8593445E+005	5.6051270E-007	4.5621354E+005	1.1942998E+000	1.1322901E+004
9.9943410E-001	9.8825143E+005	5.6891898E-007	4.6535578E+005	1.1939887E+000	1.1362158E+004
9.9942560E-001	9.9057252E+005	5.7749066E-007	4.7470581E+005	1.1936939E+000	1.1401304E+004
9.9941700E-001	9.9289784E+005	5.8622976E-007	4.8426801E+005	1.1934142E+000	1.1440343E+004
9.9940830E-001	9.9522749E+005	5.9513890E-007	4.9404684E+005	1.1931497E+000	1.1479276E+004
9.9939960E-001	9.9756223E+005	6.0422000E-007	5.0404680E+005	1.1929005E+000	1.1518109E+004
9.9939080E-001	9.9990129E+005	6.1347720E-007	5.1427287E+005	1.1926666E+000	1.1556843E+004
9.9938190E-001	1.0022443E+006	6.2291315E-007	5.2472950E+005	1.1924473E+000	1.1595482E+004
9.9937300E-001	1.0045911E+006	6.3253132E-007	5.3542203E+005	1.1922421E+000	1.1634028E+004
9.9936400E-001	1.0069413E+006	6.4233454E-007	5.4635518E+005	1.1920502E+000	1.1672485E+004
9.9935500E-001	1.0092946E+006	6.5232639E-007	5.5753418E+005	1.1918712E+000	1.1710855E+004
9.9934590E-001	1.0116501E+006	6.6251008E-007	5.6896420E+005	1.1917036E+000	1.1749143E+004
9.9933670E-001	1.0140072E+006	6.7288947E-007	5.8065046E+005	1.1915466E+000	1.1787352E+004
9.9932750E-001	1.0163651E+006	6.8346917E-007	5.9259861E+005	1.1914004E+000	1.1825484E+004
9.9931820E-001	1.0187239E+006	6.9425405E-007	6.0481426E+005	1.1912678E+000	1.1863545E+004
9.9930880E-001	1.0210833E+006	7.0524857E-007	6.1730270E+005	1.1911497E+000	1.1901536E+004
9.9929940E-001	1.0234424E+006	7.1645782E-007	6.3006962E+005	1.1910471E+000	1.1939463E+004
9.9929000E-001	1.0258014E+006	7.2788753E-007	6.4312115E+005	1.1909623E+000	1.1977329E+004
9.9928040E-001	1.0281587E+006	7.3954355E-007	6.5646282E+005	1.1908963E+000	1.2015140E+004
9.9927090E-001	1.0305121E+006	7.5143292E-007	6.7010103E+005	1.1908474E+000	1.2052900E+004
9.9926120E-001	1.0328662E+006	7.6354873E-007	6.8404211E+005	1.1908088E+000	1.2090614E+004
